Player_X,Closest_Rock_X,Closest_Rock_Y,Delta_X,Action_Taken
300,248,-34,52,1
300,248,-28,52,1
300,248,-22,52,1
300,248,-16,52,1
300,248,-10,52,1
300,248,-4,52,1
300,248,2,52,1
300,248,8,52,1
300,248,14,52,1
300,248,20,52,1
300,248,26,52,1
300,248,32,52,1
300,248,38,52,1
300,248,44,52,1
300,248,50,52,1
300,248,56,52,1
300,248,62,52,1
300,248,68,52,1
300,248,74,52,1
300,248,80,52,1
300,248,86,52,1
300,248,92,52,1
300,248,98,52,1
300,248,104,52,1
300,248,110,52,1
300,248,116,52,1
300,248,122,52,1
300,248,128,52,1
300,248,134,52,1
300,248,140,52,1
300,248,146,52,1
300,248,152,52,1
300,248,158,52,1
300,248,164,52,1
300,248,170,52,1
300,248,176,52,1
300,248,182,52,1
300,248,188,52,1
300,248,194,52,1
300,248,200,52,1
300,248,206,52,1
300,248,212,52,1
300,248,218,52,1
300,248,224,52,1
300,248,230,52,1
300,248,236,52,1
300,248,242,52,1
300,248,248,52,1
300,248,254,52,1
300,248,260,52,1
300,248,266,52,1
300,248,272,52,1
300,248,278,52,1
300,248,284,52,1
300,248,290,52,1
300,248,296,52,1
300,248,302,52,1
300,248,308,52,1
300,248,314,52,1
300,248,320,52,1
300,248,326,52,1
300,248,332,52,1
307,248,338,59,2
314,248,344,66,2
321,248,350,73,2
328,248,356,80,2
335,248,362,87,2
342,248,368,94,2
349,248,374,101,2
349,248,380,101,1
349,248,386,101,1
349,248,392,101,1
349,248,398,101,1
349,248,404,101,1
349,248,410,101,1
349,248,416,101,1
349,248,422,101,1
349,248,428,101,1
349,248,434,101,1
349,248,440,101,1
349,248,446,101,1
349,248,452,101,1
349,248,458,101,1
349,248,464,101,1
349,248,470,101,1
349,248,476,101,1
356,248,482,108,2
363,248,488,115,2
370,248,494,122,2
377,248,500,129,2
384,248,506,136,2
391,248,512,143,2
398,248,518,150,2
398,248,524,150,1
398,248,530,150,1
398,248,536,150,1
398,248,542,150,1
398,248,548,150,1
398,248,554,150,1
398,248,560,150,1
398,248,566,150,1
398,248,572,150,1
398,248,578,150,1
398,248,584,150,1
398,248,590,150,1
398,248,596,150,1
398,248,602,150,1
398,248,608,150,1
398,248,614,150,1
398,248,620,150,1
398,248,626,150,1
398,248,632,150,1
398,248,638,150,1
398,248,644,150,1
398,248,650,150,1
398,248,656,150,1
398,248,662,150,1
398,248,668,150,1
398,248,674,150,1
398,248,680,150,1
391,248,686,143,0
384,248,692,136,0
377,248,698,129,0
